zipcode,Population,Married(%),Widowed(%),Divorced(%),Separated(%),Never_Married(%),Married,Widowed,Divorced,Separated,Never_Married,Number_Households,Percent_Distribution_Housesholds,Median_Income_Households
83501,28808,52.0,6.7,13.5,1.1,26.7,14980,1930,3889,316,7691,14476,14476,52285
83822,1625,52.1,8.2,14.2,2.0,23.5,846,133,230,32,381,799,799,45293
83824,249,39.0,9.6,15.7,3.6,32.1,97,23,39,8,79,99,99,32292
83832,1196,66.9,2.6,9.4,0.2,21.0,800,31,112,2,251,590,590,64375
83851,1339,48.8,9.0,16.5,2.8,22.9,653,120,220,37,306,649,649,37216
83855,1625,56.5,7.6,10.6,1.2,24.2,918,123,172,19,393,867,867,49177
83870,268,35.4,11.2,14.6,1.5,37.3,94,30,39,4,99,120,120,40536
83872,528,72.3,4.5,7.6,0.0,15.5,381,23,40,0,81,259,259,99886
97031,15231,51.4,5.8,10.4,1.2,31.3,7828,883,1584,182,4767,7227,7227,57655
97828,2610,56.6,10.5,13.7,1.5,17.6,1477,274,357,39,459,1417,1417,47694
97835,248,64.9,2.4,12.1,0.0,20.6,160,5,30,0,51,119,119,48854
97862,8836,51.6,6.3,14.4,1.1,26.6,4559,556,1272,97,2350,4238,4238,46297
98001,26042,52.6,3.9,11.2,1.2,31.1,13698,1015,2916,312,8099,11097,11097,77083
98002,26350,43.0,6.3,15.7,2.1,32.9,11330,1660,4136,553,8669,13111,13111,51086
98003,38961,41.0,6.5,12.9,1.8,37.9,15974,2532,5025,701,14766,18279,18279,53023
98004,29162,57.5,4.2,8.6,0.9,28.8,16768,1224,2507,262,8398,16006,16006,117321
98005,15603,59.2,3.6,10.6,0.9,25.7,9236,561,1653,140,4009,7761,7761,101134
98006,30302,63.4,4.2,7.8,0.8,23.8,19211,1272,2363,242,7211,13356,13356,126601
98007,23206,53.7,3.7,7.3,1.5,33.6,12461,858,1694,348,7797,10974,10974,87207
98008,20122,61.3,6.9,7.2,0.5,24.1,12334,1388,1448,100,4849,9075,9075,95783
98010,4189,60.4,2.1,11.5,0.8,25.1,2530,87,481,33,1051,1961,1961,90233
98011,26514,53.4,5.1,12.0,1.3,28.2,14158,1352,3181,344,7476,13183,13183,86490
98012,48422,60.8,3.1,10.1,1.0,25.0,29440,1501,4890,484,12105,22394,22394,93267
98014,6018,61.3,2.8,10.7,1.2,24.0,3689,168,643,72,1444,2762,2762,99769
98019,9355,62.4,2.7,7.7,0.6,26.5,5837,252,720,56,2479,4175,4175,120371
98020,17458,53.1,7.5,13.0,0.6,25.8,9270,1309,2269,104,4504,8650,8650,89775
98021,24307,63.1,4.6,8.3,1.1,22.8,15337,1118,2017,267,5541,10684,10684,110346
98022,17769,53.0,6.2,14.0,1.3,25.5,9417,1101,2487,230,4531,8520,8520,65296
98023,40570,52.8,3.9,9.8,2.5,31.1,21420,1582,3975,1014,12617,17803,17803,75824
98024,4940,68.3,1.4,10.3,0.7,19.3,3374,69,508,34,953,2153,2153,129053
98026,30823,53.5,4.7,10.3,1.4,30.1,16490,1448,3174,431,9277,14287,14287,83965
98027,23751,60.1,3.6,11.2,0.6,24.4,14274,855,2660,142,5795,11304,11304,108565
98028,17823,60.2,3.3,10.3,0.8,25.4,10729,588,1835,142,4527,8644,8644,96277
98029,20883,64.5,4.6,10.1,0.8,19.9,13469,960,2109,167,4155,10786,10786,112833
98030,28851,47.9,5.0,8.1,1.3,37.7,13819,1442,2336,375,10876,11967,11967,58666
98031,30602,51.1,4.2,9.5,1.9,33.4,15637,1285,2907,581,10221,12554,12554,73688
98032,29635,39.4,4.7,12.8,2.1,40.9,11676,1392,3793,622,12120,13752,13752,51696
98033,31664,57.7,3.5,11.0,1.6,26.2,18270,1108,3483,506,8295,16133,16133,117653
98034,35391,56.7,3.6,11.0,0.9,27.8,20066,1274,3893,318,9838,17481,17481,93520
98036,32052,52.4,4.7,10.6,1.7,30.6,16795,1506,3397,544,9807,14437,14437,72573
98037,23033,49.1,4.7,11.5,0.9,33.8,11309,1082,2648,207,7785,10514,10514,68715
98038,26463,62.0,3.7,10.8,0.8,22.7,16407,979,2858,211,6007,12190,12190,99098
98039,2490,74.7,4.2,5.8,0.3,15.1,1860,104,144,7,375,1175,1175,186484
98040,19841,63.9,6.5,8.3,0.7,20.7,12678,1289,1646,138,4107,9867,9867,136644
98042,38158,57.9,4.0,9.7,0.9,27.5,22093,1526,3701,343,10493,16408,16408,94770
98043,17108,48.4,4.6,14.5,1.6,30.9,8280,786,2480,273,5286,8216,8216,69727
98045,11297,65.5,1.9,9.6,1.1,21.8,7399,214,1084,124,2462,5254,5254,101078
98047,5304,50.6,4.3,10.6,1.5,33.0,2683,228,562,79,1750,2367,2367,54022
98050,461,76.4,0.0,0.0,0.0,23.6,352,0,0,0,108,179,179,134880
98051,3138,64.6,2.8,5.4,2.0,25.2,2027,87,169,62,790,1382,1382,87283
98052,52217,62.7,2.7,7.7,0.7,26.2,32740,1409,4020,365,13680,26051,26051,117303
98053,17051,70.4,4.9,7.5,0.8,16.4,12003,835,1278,136,2796,8184,8184,123548
98055,19382,48.0,5.9,11.0,2.3,32.8,9303,1143,2132,445,6357,9256,9256,68638
98056,29488,46.6,3.3,11.6,2.6,36.0,13741,973,3420,766,10615,13964,13964,78525
98057,10785,33.5,5.0,16.1,3.7,41.7,3612,539,1736,399,4497,5937,5937,44291
98058,34455,57.5,4.8,10.1,0.9,26.8,19811,1653,3479,310,9233,15758,15758,85717
98059,29797,59.9,3.4,8.9,1.0,26.9,17848,1013,2651,297,8015,13423,13423,97407
98065,10604,74.7,1.1,7.4,0.1,16.7,7921,116,784,10,1770,4951,4951,133481
98068,284,52.1,3.9,8.5,1.1,34.5,147,11,24,3,97,114,114,102500
98070,8316,56.0,7.3,14.0,1.7,21.0,4656,607,1164,141,1746,4407,4407,77724
98072,18815,59.1,4.2,9.7,0.8,26.2,11119,790,1825,150,4929,8839,8839,110302
98074,20547,73.6,2.3,3.5,0.2,20.4,15122,472,719,41,4191,9067,9067,160618
98075,18074,74.0,2.0,5.7,0.5,17.9,13374,361,1030,90,3235,7740,7740,163409
98077,11663,67.6,2.0,5.3,0.2,24.9,7884,233,618,23,2904,4795,4795,144193
98087,30277,47.7,2.7,13.7,1.8,34.1,14442,817,4147,544,10324,13607,13607,73739
98092,35500,52.8,3.4,10.4,1.5,31.8,18744,1207,3692,532,11289,15985,15985,81211
98101,12098,33.1,5.7,10.4,1.4,49.4,4004,689,1258,169,5976,8390,8390,68750
98102,23121,29.4,2.0,8.9,1.5,58.3,6797,462,2057,346,13479,15058,15058,83403
98103,45301,38.9,2.5,9.3,0.6,48.8,17622,1132,4212,271,22106,24189,24189,91740
98104,13784,26.1,6.0,12.8,1.4,53.7,3597,827,1764,192,7402,8004,8004,37610
98105,42941,26.0,1.4,4.7,0.6,67.4,11164,601,2018,257,28942,16007,16007,56015
98106,21090,41.3,4.8,13.9,2.3,37.7,8710,1012,2931,485,7950,10781,10781,62726
98107,21960,37.9,3.1,11.6,0.3,47.2,8322,680,2547,65,10365,12906,12906,83581
98108,19355,44.6,5.5,9.6,1.8,38.4,8632,1064,1858,348,7432,8639,8639,55314
98109,24984,36.1,2.7,8.9,0.6,51.7,9019,674,2223,149,12916,15090,15090,95719
98110,18942,64.4,4.4,11.6,0.5,19.0,12198,833,2197,94,3598,9679,9679,109341
98112,21337,46.8,2.9,9.0,1.1,40.2,9985,618,1920,234,8577,11264,11264,110051
98115,42749,49.3,3.2,8.9,0.5,38.1,21075,1367,3804,213,16287,21844,21844,100794
98116,21886,50.8,4.0,13.6,1.7,29.9,11118,875,2976,372,6543,12161,12161,100711
98117,27628,55.5,3.9,9.2,1.0,30.4,15333,1077,2541,276,8398,14448,14448,102519
98118,38377,44.0,5.1,10.8,2.4,37.7,16885,1957,4144,921,14468,16693,16693,62504
98119,22310,39.0,2.6,9.0,1.2,48.2,8700,580,2007,267,10753,12148,12148,85171
98121,15926,33.1,1.1,11.6,1.0,53.3,5271,175,1847,159,8488,11339,11339,94813
98122,33749,28.2,2.2,8.6,1.6,59.5,9517,742,2902,539,20080,17930,17930,72018
98125,34579,44.7,5.8,10.6,1.5,37.5,15456,2005,3665,518,12967,18649,18649,61014
98126,18800,48.9,5.0,13.3,1.7,31.0,9193,940,2500,319,5828,10062,10062,73698
98133,42048,43.4,6.2,13.6,1.3,35.5,18248,2606,5718,546,14927,21642,21642,60409
98134,827,9.7,8.8,12.9,1.0,67.6,80,72,106,8,559,207,207,58125
98136,13878,52.2,4.0,13.2,0.8,29.8,7244,555,1831,111,4135,7461,7461,97673
98144,26303,39.1,4.5,11.8,1.9,42.7,10284,1183,3103,499,11231,13021,13021,71628
98146,22249,47.7,3.6,10.8,2.4,35.4,10612,800,2402,533,7876,9908,9908,61160
98148,9004,45.9,6.1,11.7,2.4,33.9,4132,549,1053,216,3052,4463,4463,53342
98154,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
98155,28647,53.4,5.2,10.6,1.6,29.2,15297,1489,3036,458,8364,13377,13377,81405
98158,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
98164,127,64.6,0.0,23.6,0.0,11.8,82,0,29,0,14,85,85,"250,000+"
98166,17629,51.3,5.2,12.7,1.3,29.4,9043,916,2238,229,5182,8472,8472,76658
98168,25472,46.1,5.2,10.7,2.3,35.6,11742,1324,2725,585,9068,11236,11236,53992
