Name,Program Identifier,Inspection Date,Description,Address,City,zipcode,Phone,Longitude,Latitude,Inspection Business Name,Inspection Type,Inspection Score,Inspection Result,Inspection Closed Business,Violation Type,Violation Description,Violation Points,Business_ID,Inspection_Serial_Num,Violation_Record_ID,Grade
MARRAKESH RESTAURANT,MARRAKESH RESTAURANT,2017-02-21,Seating 51-150 - Risk Category III,2334 2ND AVE ,SEATTLE,98121,,-122.3466045009,47.6148027383,MARRAKESH RESTAURANT,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0069201,DALJ3KH8M,,2.0
LIL WOODYS,LIL WOODYS,2017-02-28,Seating 0-12 - Risk Category III,1091 THOMAS ST,SEATTLE,98109,(206) 650-0886,-122.33619876,47.62061312,LIL WOODYS,Routine Inspection/Field Review,5.0,Satisfactory,False,BLUE,"4100 - Warewashing facilities properly installed,...",5,PR0086254,DAJ3JY08D,IVFO5ISIE,1.0
EVERGREENS SALAD,EVERGREENS SALAD,2017-02-28,Seating 0-12 - Risk Category III,1091 THOMAS ST,SEATTLE,98109,(402) 639-8758,-122.33619876,47.62061312,EVERGREENS SALAD,Routine Inspection/Field Review,10.0,Unsatisfactory,False,RED,0600 - Adequate handwashing facilities,10,PR0086352,DAYGBEHJH,IVXVGCFXZ,2.0
ON THE FLY,ON THE FLY,2017-03-01,Seating 0-12 - Risk Category III,300 WESTLAKE AVE N,SEATTLE,98109,(206) 728-8595,-122.33818756,47.62109416,ON THE FLY,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0084175,DA9PKKBZW,,2.0
BELL HARBOR INT CONFERENCE CTR,BELL HARBOR INTN'L - BANQUET KITCHEN - 2ND FLR.,2017-03-29,Seating 151-250 - Risk Category III,2211 ALASKAN WAY,Seattle,98121,(206) 441-6666,-122.34912412610001,47.611096175,BELL HARBOR INT CONFERENCE CTR,Consultation/Education - Field,0.0,Complete,False,,,0,PR0068143,DA40HXOPP,,1.0
EMERALD GRILL,EMERALD GRILL (HOLIDAY INN),2017-04-03,Seating 51-150 - Risk Category III,211 DEXTER AVE N,SEATTLE,98109,(206) 441-5115,-122.34263375299999,47.6198677378,EMERALD GRILL,Routine Inspection/Field Review,15.0,Satisfactory,False,BLUE,"4400 - Plumbing properly sized, installed,...",5,PR0066444,DA01RPHH2,IVBSNWDU4,1.0
SHOWBOX SODO,SHOWBOX SODO,2017-05-06,Seating 51-150 - Risk Category III,1700 1ST AVE S ,SEATTLE,98134,(206) 236-0614,-122.3336901449,47.587954312600004,SHOWBOX SODO,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0069740,DASJV5O50,,1.0
R-PLACE A SEATTLE PUB,R-PLACE A SEATTLE PUB,2017-05-19,Seating 51-150 - Risk Category I,619 E PINE ST ,Seattle,98122,(206) 322-8828,-122.3237217833,47.6150805851,R-PLACE A SEATTLE PUB,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0026215,DAZ8FUX0T,,1.0
CHARTWELLS HIGHER EDUCATION,HAWK'S NEST BISTRO- 3RD FLOOR,2017-05-30,Seating 151-250 - Risk Category III,1000 E JAMES WAY,SEATTLE,98122,,-122.3237358091,47.60617222850001,CHARTWELLS HIGHER EDUCATION,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0067514,DAPL3HDXO,,2.0
RITA'S AT MARINERS,RITA'S AT MARINERS,2017-06-21,Seating 0-12 - Risk Category II,1250 1ST AVE S,SEATTLE,98134,(425) 457-2143,-122.33304503,47.59150746,RITA'S AT MARINERS,Routine Inspection/Field Review,0.0,Satisfactory,False,,,0,PR0086547,DA5IXJDEM,,1.0
